label	target
0	-0.913698
1	-1.024479
2	-0.915074
3	-0.336972
4	-0.779352
5	-0.582186
6	-0.198655
7	-0.610214
8	-0.766184
9	-0.635397
10	-0.295865
11	-0.273761
12	-0.527315
13	-0.748207
14	-0.445270
15	-0.461019
16	-0.531000
17	0.204052
18	-0.442647
19	-0.397077
20	-0.809863
21	-0.729062
22	-0.843882
23	-1.024552
24	-1.045104
25	-1.282841
26	-1.624609
27	-0.911040
28	-1.183146
29	-1.211104
30	-1.057258
31	-1.079252
32	0.303363
33	-1.225046
34	-0.564533
35	-0.334599
36	-0.592124
37	-0.628665
38	-0.814831
39	-0.617822
40	-0.747645
41	-0.764979
42	-0.742830
43	-0.886828
44	-0.944058
45	-1.030172
46	-1.277789
47	-0.976838
48	-1.005046
49	-0.833810
50	-0.935659
51	-0.764395
52	-0.530832
53	-0.847095
54	-0.775396
55	-0.818920
56	-0.789468
57	-0.398691
58	-1.370615
59	-0.877365
60	-1.136830
61	-0.784323
62	-0.987633
63	-0.637989
64	-0.997181
65	-0.460714
66	-1.279225
67	-0.555366
68	0.013636
69	-0.005952
70	0.014277
71	0.086524
72	-0.267637
73	-0.031020
74	-0.442163
75	-0.192907
76	-0.310948
77	-0.349095
78	-0.931852
79	-0.782929
80	-0.355045
81	-0.763092
82	-0.676129
83	-0.685134
84	-0.623167
85	0.007268
86	-0.774828
87	-0.925967
88	-1.118765
89	-1.324991
90	-1.206717
91	-1.464077
92	-1.227894
93	-1.371576
94	-0.923848
95	-0.797410
96	-1.155747
97	-1.572004
98	-0.743897
99	-0.588069
100	-0.630761
101	-1.015999
102	-0.893702
103	-1.094150
104	-0.976589
105	-1.050325
106	-0.954398
107	-0.854965
108	-1.126342
109	-0.898496
110	-1.313741
111	-1.512056
112	-1.542392
113	-1.277964
114	-0.927433
115	-1.087412
116	-0.918988
117	-0.833506
118	-0.948273
119	-0.684483
120	-0.768237
121	-0.547088
122	-0.625074
123	-0.787400
124	-0.856045
125	-0.687307
126	-0.777924
127	-0.879465
128	-1.144031
129	-0.682025
130	-1.265196
131	-1.459499
132	-1.205727
133	-1.114410
134	-1.267972
135	-1.808601
136	-0.341449
137	-0.367160
138	-0.564592
139	-0.874854
140	-0.256181
141	-0.069285
142	-0.133049
143	-1.012073
144	-0.453079
145	-0.474500
146	-0.586767
147	-0.737390
148	-0.138308
149	0.257737
150	0.970881
151	0.456827
152	-0.041029
153	0.075870
154	0.219032
155	1.873198
156	1.958516
157	0.863384
158	0.170890
159	2.391967
160	2.216482
161	0.576930
162	0.841443
163	0.645128
164	0.964417
165	0.687615
166	0.264090
167	0.293029
168	0.567018
169	0.216945
170	-0.039477
171	0.587804
172	0.000536
173	0.066580
174	-0.621604
175	-0.838241
176	-0.426421
177	-0.676559
178	0.175270
179	-0.780355
180	-0.631394
181	-1.258529
182	-1.350329
183	-0.471337
184	-1.505097
185	-1.155189
186	-0.922546
187	-0.717051
188	-1.092748
189	-0.687450
190	-0.935248
191	-1.063097
192	-0.950522
193	-1.559246
194	-0.948473
195	-1.137302
196	-1.347901
197	-1.003201
198	-1.120032
199	-1.901841
200	-1.142487
201	-1.178839
202	-0.382848
203	-0.266038
204	-0.704619
205	-1.650058
206	-1.113951
207	-1.266737
208	0.602807
209	1.363618
210	2.004497
211	-1.225844
212	-1.184497
213	-0.542578
214	-0.922934
215	-1.102265
216	-0.799453
217	0.790940
218	-0.057551
219	-0.349738
220	-0.819941
221	-1.178949
222	-0.891728
223	0.144967
224	-1.179844
225	-1.683050
226	-1.619062
227	-1.163305
228	-1.587271
229	-1.392500
230	-1.686422
231	-0.657741
232	-1.153410
233	-0.063238
234	-1.019956
235	-0.747386
236	-1.017558
237	-0.889529
238	0.177649
239	-0.588026
240	-1.154846
241	-0.393083
242	0.879272
243	0.941868
244	1.104841
245	0.495758
246	-0.092358
247	1.223532
248	-0.007445
249	0.092985
250	-0.236578
251	0.051232
252	0.428787
253	-0.328167
254	0.429899
255	0.075893
256	0.078535
257	-0.112254
258	0.201698
259	0.224937
260	2.053180
261	0.250985
262	-0.108577
263	-0.097865
264	-0.660453
265	-0.856966
266	-0.615793
267	-0.295970
268	-0.122493
269	-0.067101
270	-0.467915
271	0.098803
272	0.752727
273	0.541173
274	0.768886
275	0.094564
276	-0.109557
277	0.463234
278	0.394808
279	0.093796
280	-0.170915
281	-0.054507
282	-0.199910
283	-0.212236
284	-0.186464
285	-0.245602
286	-0.366706
287	-0.542443
288	-0.114417
289	0.183598
290	0.367915
291	0.733815
292	-0.607724
293	-0.700546
294	-0.400484
295	-0.491115
296	-0.511925
297	-0.711655
298	-0.833148
299	-1.199284
300	-0.750083
301	-1.755655
302	-0.319813
303	-0.390688
304	-0.341766
305	-1.102918
306	-1.037780
307	-1.407833
308	-0.277914
309	0.630781
310	-0.789865
311	-1.323342
312	-1.061709
313	-0.634570
314	-0.900694
315	-0.512634
316	-0.866917
317	0.000579
318	0.018053
319	-1.095169
320	1.586285
321	1.337902
322	-0.856680
323	-0.757722
324	-1.132181
325	-0.583985
326	2.514439
327	1.794255
328	1.600344
329	0.722347
330	-0.723736
331	-1.383247
332	-0.470277
333	0.325321
334	-0.411375
335	-1.053254
336	0.795765
337	0.574092
338	-0.635478
339	-0.657017
340	-1.030061
341	-1.252925
342	-2.018316
343	-1.229073
344	-0.654792
345	-1.496235
346	-1.541006
347	-1.198352
348	-1.459640
349	-1.640775
350	-0.699502
351	-0.541260
352	-0.371435
